tweetid	tweet	tokens	langid	sentiment
396	RT @ZarcortGame: Montando el nuevo pc! http://t.co/yH6HHbuvM8	['RT', '@ZarcortGame', ':', 'Montando', 'el', 'nuevo', 'pc', '!', 'http://t.co/yH6HHbuvM8']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'other']	positive
397	S C R U B I N, CAMILA	['S', 'C', 'R', 'U', 'B', 'I', 'N', ',', 'CAMILA']	['other', 'lang2', 'lang1', 'lang1', 'other', 'lang1', 'lang2', 'other', 'ne']	positive
398	Llama y textea a tus amigos con confianza usando la red 4G LTE más grande y confiable del país. http://t.co/2vTD0U5Kr5	['Llama', 'y', 'textea', 'a', 'tus', 'amigos', 'con', 'confianza', 'usando', 'la', 'red', '4G', 'LTE', 'más', 'grande', 'y', 'confiable', 'del', 'país', '.', 'http://t.co/2vTD0U5Kr5']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'ne', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other']	positive
399	puedo seguir poniendo pics en insta o soy muy annoying?	['puedo', 'seguir', 'poniendo', 'pics', 'en', 'insta', 'o', 'soy', 'muy', 'annoying', '?']	['lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other']	neutral
400	Gracias @dannpp por mi super regalos de cumple. #bday #happy #gifts #styling #angieestilo Lo mejor… http://t.co/gYIX1jZKdR	['Gracias', '@dannpp', 'por', 'mi', 'super', 'regalos', 'de', 'cumple', '.', '#bday', '#happy', '#gifts', '#styling', '#angieestilo', 'Lo', 'mejor', '…', 'http://t.co/gYIX1jZKdR']	['lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'other', 'other']	positive
401	RT @axiohan: En el prom*  https://t.co/HYLGxdD701	['RT', '@axiohan', ':', 'En', 'el', 'prom', '*', 'https://t.co/HYLGxdD701']	['other', 'other', 'other', 'lang2', 'lang2', 'lang1', 'other', 'other']	positive
402	RT @ustftwilly: @YellowMellowMG cancelen todo, a las 20.00hrs video de melo, NO SE LO PUEDEN PERDEEEER 🎉	['RT', '@ustftwilly', ':', '@YellowMellowMG', 'cancelen', 'todo', ',', 'a', 'las', '20.00', 'hrs', 'video', 'de', 'melo', ',', 'NO', 'SE', 'LO', 'PUEDEN', 'PERDEEEER', '🎉']	['other', 'other', 'other', 'other', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'other', 'lang1', 'lang2', 'lang2', 'ne', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	positive
403	@AltarRebelde una pagina de facebook que los estudiantes de Cayey someten cosas anonimas jaja	['@AltarRebelde', 'una', 'pagina', 'de', 'facebook', 'que', 'los', 'estudiantes', 'de', 'Cayey', 'someten', 'cosas', 'anonimas', 'jaja']	['other', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang2', 'lang2', 'lang2', 'lang2']	positive
404	@guaynabocitymom philosophy pero ya quedan 5 mins	['@guaynabocitymom', 'philosophy', 'pero', 'ya', 'quedan', '5', 'mins']	['other', 'lang1', 'lang2', 'lang2', 'lang2', 'other', 'lang2']	negative
405	@Danyfn119 @quinti14 @HectorA170 oh yezus!pleasee jajajaa no!para yo soportarlo una noche me tengo que dar yo el whiskey.. Sorry	['@Danyfn119', '@quinti14', '@HectorA170', 'oh', 'yezus', '!', 'pleasee', 'jajajaa', 'no', '!', 'para', 'yo', 'soportarlo', 'una', 'noche', 'me', 'tengo', 'que', 'dar', 'yo', 'el', 'whiskey', '..', 'Sorry']	['other', 'other', 'other', 'lang1', 'lang2', 'other', 'lang1', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'other', 'lang1']	positive
406	@fairy0821 Strawberry Mojito XL! http://t.co/ZsE57WDB	['@fairy0821', 'Strawberry', 'Mojito', 'XL', '!', 'http://t.co/ZsE57WDB']	['other', 'lang1', 'lang2', 'other', 'other', 'other']	positive
407	RT @MrDamnHeTall12: La noche está para una movie y una copa de vino....	['RT', '@MrDamnHeTall12', ':', 'La', 'noche', 'está', 'para', 'una', 'movie', 'y', 'una', 'copa', 'de', 'vino', '..', '..']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other']	positive
408	BUENOS DÍAS YA ESTÁ HOY ES EL DÍA. Aquí tenéis Phantom Limb: https://t.co/RTnI9mMDRe	['BUENOS', 'DÍAS', 'YA', 'ESTÁ', 'HOY', 'ES', 'EL', 'DÍA', '.', 'Aquí', 'tenéis', 'Phantom', 'Limb', ':', 'https://t.co/RTnI9mMDRe']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang1', 'lang1', 'other', 'other']	positive
409	PORQUE NO TENGO LOS FILTERS DE XMEN EN SNAPCHAAAAT	['PORQUE', 'NO', 'TENGO', 'LOS', 'FILTERS', 'DE', 'XMEN', 'EN', 'SNAPCHAAAAT']	['lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'ne', 'lang2', 'ne']	negative
410	RT @n_nanoshka: No sé porque es, pero siempre estoy para conversaciones deep.	['RT', '@n_nanoshka', ':', 'No', 'sé', 'porque', 'es', ',', 'pero', 'siempre', 'estoy', 'para', 'conversaciones', 'deep', '.']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other']	negative
411	RT @hectorelcrack: Próximo vídeo en el canal. #ProjectH http://t.co/ogTDtxnsrh	['RT', '@hectorelcrack', ':', 'Próximo', 'vídeo', 'en', 'el', 'canal', '.', '#ProjectH', 'http://t.co/ogTDtxnsrh']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'other']	positive
412	Jodiste to' btw.	"['Jodiste', 'to', ""'"", 'btw', '.']"	['lang2', 'lang1', 'other', 'lang1', 'other']	positive
413	NADIE ME FUCKING DIJO QUE MEREDITH ESTABA EMBARASADA 😭😭😭😭😭😭	['NADIE', 'ME', 'FUCKING', 'DIJO', 'QUE', 'MEREDITH', 'ESTABA', 'EMBARASADA', '😭😭😭😭😭😭']	['lang2', 'lang1', 'lang1', 'lang2', 'lang2', 'ne', 'lang2', 'lang2', 'other']	negative
414	@marcosorteg dime el canal plijjj	['@marcosorteg', 'dime', 'el', 'canal', 'plijjj']	['other', 'lang2', 'lang2', 'lang2', 'lang1']	positive
415	Sonreír da paz #happytuesdayeveryone  Vestido floral fucsia  Sólo en s-m tus pedido al 096.880.7384 http://t.co/sfhdB0ohT2	['Sonreír', 'da', 'paz', '#happytuesdayeveryone', 'Vestido', 'floral', 'fucsia', 'Sólo', 'en', 's-m', 'tus', 'pedido', 'al', '096.880.7384', 'http://t.co/sfhdB0ohT2']	['lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang2', 'lang2', 'lang2', 'other', 'other']	positive
416	@titoo106 i guesss pero me da dermatitis. So aunque beba mucha sprite no me da. Y no puedo bregaL con el agua namás 😔 #SeréGorda	['@titoo106', 'i', 'guesss', 'pero', 'me', 'da', 'dermatitis', '.', 'So', 'aunque', 'beba', 'mucha', 'sprite', 'no', 'me', 'da', '.', 'Y', 'no', 'puedo', 'bregaL', 'con', 'el', 'agua', 'namás', '😔', '#Ser', 'éGorda']	['other', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2']	negative
417	@isatpc web md siempre es buenisimo para crear un trauma en mi👏🏽	['@isatpc', 'web', 'md', 'siempre', 'es', 'buenisimo', 'para', 'crear', 'un', 'trauma', 'en', 'mi', '👏🏽']	['other', 'lang1', 'ne', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	positive
418	Brava vs fifa vs calculo 2 vs netflix vs sleep	['Brava', 'vs', 'fifa', 'vs', 'calculo', '2', 'vs', 'netflix', 'vs', 'sleep']	['lang2', 'lang2', 'ne', 'lang1', 'lang2', 'other', 'lang2', 'ne', 'lang1', 'lang1']	positive
419	RT @Yjr11_: @Kronnomc mira quien esta posteado en mi pared zomber https://t.co/0ADxiTbamV	['RT', '@Yjr11_', ':', '@Kronnomc', 'mira', 'quien', 'esta', 'posteado', 'en', 'mi', 'pared', 'zomber', 'https://t.co/0ADxiTbamV']	['other', 'other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other']	positive
420	Que mi tía tenga una farmacia is kinda cool	['Que', 'mi', 'tía', 'tenga', 'una', 'farmacia', 'is', 'kinda', 'cool']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1']	positive
421	Imagen Modeling by La Gatita también une fuerzas #nomasviolencia  #violenciadomestica #nomore… https://t.co/ubrpvDgrwH	['Imagen', 'Modeling', 'by', 'La', 'Gatita', 'también', 'une', 'fuerzas', '#nomasviolencia', '#violenciadomestica', '#nomore', '…', 'https://t.co/ubrpvDgrwH']	['lang2', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'other']	positive
422	Nariz roja, ojos llorosos esto es una maldición Lol #Flu gracias a Dios #ReyDavid a mi rescate!. https://t.co/m16qHyD3v5	['Nariz', 'roja', ',', 'ojos', 'llorosos', 'esto', 'es', 'una', 'maldición', 'Lol', '#Flu', 'gracias', 'a', 'Dios', '#ReyDavid', 'a', 'mi', 'rescate', '!.', 'https://t.co/m16qHyD3v5']	['lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'ne', 'lang2', 'lang2', 'lang2', 'other', 'other']	negative
423	"""RT to save titties"" jajajajajajajajjajajaja ok  https://t.co/nLZauzmYHf"	"['""', 'RT', 'to', 'save', 'titties', '""', 'jajajajajajajajjajajaja', 'ok', 'https://t.co/nLZauzmYHf']"	['other', 'other', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang1', 'other']	positive
424	La idea de una Zomber ha sido poner un hashtag para BO3 y petarlo XD Pues ea que no se diga mas... #ZomberSquad4E	['La', 'idea', 'de', 'una', 'Zomber', 'ha', 'sido', 'poner', 'un', 'hashtag', 'para', 'BO3', 'y', 'petarlo', 'XD', 'Pues', 'ea', 'que', 'no', 'se', 'diga', 'mas', '..', '.', '#ZomberSquad4E']	['lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'other']	positive
425	RT @Univision: Pendientes, @VerizonLatino les trae @bombaestereo en Periscope ¡Estarán contestando sus preguntas! #LatinGRAMMY https://t.co…	['RT', '@Univision', ':', 'Pendientes', ',', '@VerizonLatino', 'les', 'trae', '@bombaestereo', 'en', 'Periscope', '¡', 'Estarán', 'contestando', 'sus', 'preguntas', '!', '#LatinGRAMMY', 'https://t.co', '…']	['other', 'other', 'other', 'lang2', 'other', 'other', 'lang2', 'lang2', 'other', 'lang2', 'ne', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'other', 'other']	positive
426	#Repost @aciprensa with repostapp. ・・・ El Papa Francisco nos pide rezar por #Ecuador y está… https://t.co/kCYhbtaIkq	['#Repost', '@aciprensa', 'with', 'repostapp', '.', '・・・', 'El', 'Papa', 'Francisco', 'nos', 'pide', 'rezar', 'por', '#Ecuador', 'y', 'está', '…', 'https://t.co/kCYhbtaIkq']	['lang1', 'other', 'lang1', 'lang1', 'other', 'other', 'lang2', 'ne', 'ne', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang2', 'lang2', 'other', 'other']	positive
427	RT @Albika_lol: @YellowMellowMG Día 2 sin vlog de Melo, he conocido a gente simpática, dicen ser mi familia	['RT', '@Albika_lol', ':', '@YellowMellowMG', 'Día', '2', 'sin', 'vlog', 'de', 'Melo', ',', 'he', 'conocido', 'a', 'gente', 'simpática', ',', 'dicen', 'ser', 'mi', 'familia']	['other', 'other', 'other', 'other', 'lang2', 'other', 'lang2', 'lang1', 'lang2', 'ne', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2']	positive
428	RT @LavergneRachel: No más pelucas mami, ama esa hermosa cabecita que tienes. Eres bella mi reina, be proud of it. #HennaHeals 👑🎀 https://t…	['RT', '@LavergneRachel', ':', 'No', 'más', 'pelucas', 'mami', ',', 'ama', 'esa', 'hermosa', 'cabecita', 'que', 'tienes', '.', 'Eres', 'bella', 'mi', 'reina', ',', 'be', 'proud', 'of', 'it', '.', '#HennaHeals', '👑🎀', 'https://t', '…']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'ne', 'other', 'other', 'other']	positive
429	Quiero ir al remember PC 😭	['Quiero', 'ir', 'al', 'remember', 'PC', '😭']	['lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'other']	neutral
430	Estoy haciendo un repaso de Edfu tan y tan ready que lo debería vender a peso la página y ya voy por 8 páginas 😎	['Estoy', 'haciendo', 'un', 'repaso', 'de', 'Edfu', 'tan', 'y', 'tan', 'ready', 'que', 'lo', 'debería', 'vender', 'a', 'peso', 'la', 'página', 'y', 'ya', 'voy', 'por', '8', 'páginas', '😎']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'other']	positive
431	Haute tea #fundraisers #saintregishotel makylo @JulianaVelez mabzie  #hats #fashion gracias Maks http://t.co/wxf0AuulyP	['Haute', 'tea', '#fundraisers', '#saintregishotel', 'makylo', '@JulianaVelez', 'mabzie', '#hats', '#fashion', 'gracias', 'Maks', 'http://t.co/wxf0AuulyP']	['lang1', 'lang1', 'lang1', 'lang1', 'ne', 'other', 'ne', 'lang1', 'lang1', 'lang2', 'ne', 'other']	positive
432	En el vlog de hoy me tengo que despedir... ADIÓS GATI https://t.co/IWaTraHCBM	['En', 'el', 'vlog', 'de', 'hoy', 'me', 'tengo', 'que', 'despedir', '..', '.', 'ADIÓS', 'GATI', 'https://t.co/IWaTraHCBM']	['lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang2', 'ne', 'other']	positive
433	RT @CamilaAArroyo: Diablo el feeling de saber que estás logrando tus metas y mucho más es brutal	['RT', '@CamilaAArroyo', ':', 'Diablo', 'el', 'feeling', 'de', 'saber', 'que', 'estás', 'logrando', 'tus', 'metas', 'y', 'mucho', 'más', 'es', 'brutal']	['other', 'other', 'other', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2']	positive
434	RT @Amanda3Carolina: A veces pienso que mami fue como manda a hacer perfectamente para mi. Mom i love you so much😩	['RT', '@Amanda3Carolina', ':', 'A', 'veces', 'pienso', 'que', 'mami', 'fue', 'como', 'manda', 'a', 'hacer', 'perfectamente', 'para', 'mi', '.', 'Mom', 'i', 'love', 'you', 'so', 'much', '😩']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
435	"@nogguera yo no te he dado permiso para un ""date"" pff"	"['@nogguera', 'yo', 'no', 'te', 'he', 'dado', 'permiso', 'para', 'un', '""', 'date', '""', 'pff']"	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'other', 'lang2']	negative
436	@JordiWild @ZarcortGame has visto que flow hasta coreo y todo!! Que Swag 😏	['@JordiWild', '@ZarcortGame', 'has', 'visto', 'que', 'flow', 'hasta', 'coreo', 'y', 'todo', '!!', 'Que', 'Swag', '😏']	['other', 'other', 'lang1', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang1', 'other']	positive
437	El vlog de hoy: FIESTA DE HALLOWEEN https://t.co/Z3Hx1iKcrB	['El', 'vlog', 'de', 'hoy', ':', 'FIESTA', 'DE', 'HALLOWEEN', 'https://t.co/Z3Hx1iKcrB']	['lang2', 'lang1', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang1', 'other']	positive
438	RT @beavchistoteles: another day at the office #rioMar https://t.co/DRg6wpOaV2	['RT', '@beavchistoteles', ':', 'another', 'day', 'at', 'the', 'office', '#rioMar', 'https://t.co/DRg6wpOaV2']	['other', 'other', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'other']	positive
439	RT @kikeflor: El team de la Gatita @elzol1067fm llega a las elecciones de #Hialeah @TEAMLAGATITA @sncandido y se arma la gozadera https://t…	['RT', '@kikeflor', ':', 'El', 'team', 'de', 'la', 'Gatita', '@elzol1067fm', 'llega', 'a', 'las', 'elecciones', 'de', '#Hialeah', '@TEAMLAGATITA', '@sncandido', 'y', 'se', 'arma', 'la', 'gozadera', 'https://t', '…']	['other', 'other', 'other', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other']	positive
440	RT @Los_Monkeys: Abiertos @ Santurce Food Truck   Abiertos @ Río Ave Universidad http://t.co/WWpGzMr96U	['RT', '@Los_Monkeys', ':', 'Abiertos', '@', 'Santurce', 'Food', 'Truck', 'Abiertos', '@', 'Río', 'Ave', 'Universidad', 'http://t.co/WWpGzMr96U']	['other', 'other', 'other', 'lang2', 'other', 'ne', 'lang1', 'lang1', 'lang2', 'other', 'ne', 'lang2', 'lang2', 'other']	negative
441	Ole Oleh, los caracoles!! 🐌🐌🐌 Ya hemos llegado a las 200K visitas en Assassins creed Syndicate! :D Gracias a todos!  https://t.co/N7XmgjGEkY	['Ole', 'Oleh', ',', 'los', 'caracoles', '!!', '🐌🐌🐌', 'Ya', 'hemos', 'llegado', 'a', 'las', '200K', 'visitas', 'en', 'Assassins', 'creed', 'Syndicate', '!', ':D', 'Gracias', 'a', 'todos', '!', 'https://t.co/N7XmgjGEkY']	['lang2', 'lang2', 'other', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'other', 'other', 'lang2', 'lang2', 'lang2', 'other', 'other']	positive
442	Real talk #fueradelaire #elvacilondelagatita jajajajajaj repost #Share #taguea si estas en las… https://t.co/7k4ZUboRYD	['Real', 'talk', '#fueradelaire', '#elvacilondelagatita', 'jajajajajaj', 'repost', '#Share', '#taguea', 'si', 'estas', 'en', 'las', '…', 'https://t.co/7k4ZUboRYD']	['lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'mixed', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other']	neutral
443	Escribe el hashtag al hacer tu pedido #40offsalhua y recibirás el 40% de descuento en toda tu compra!📲 096.880.7384 http://t.co/7h71PMUKgx	['Escribe', 'el', 'hashtag', 'al', 'hacer', 'tu', 'pedido', '#40offsalhua', 'y', 'recibirás', 'el', '40%', 'de', 'descuento', 'en', 'toda', 'tu', 'compra', '!', '📲', '096.880.7384', 'http://t.co/7h71PMUKgx']	['lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'other', 'other']	positive
444	RT @JuliemarCajigas: JAJAJAJAJJAJAJAJAJAJ mira Bye  https://t.co/OXFSPXpdKK	['RT', '@JuliemarCajigas', ':', 'JAJAJAJAJJAJAJAJAJAJ', 'mira', 'Bye', 'https://t.co/OXFSPXpdKK']	['other', 'other', 'other', 'lang2', 'lang2', 'lang1', 'other']	positive
445	RT @BUBENKING: YA DISPONIBLE BUBENKING | ADAMANTIUM  -ESCUCHAR YT: https://t.co/Ba6ZzZy9eP -DESCARGAR HHG: https://t.co/lrtUCk67T0 https://…	['RT', '@BUBENKING', ':', 'YA', 'DISPONIBLE', 'BUBENKING', '|', 'ADAMANTIUM', '-ESCUCHAR', 'YT', ':', 'https://t.co/Ba6ZzZy9eP', '-DESCARGAR', 'HHG', ':', 'https://t.co/lrtUCk67T0', 'https://…']	['other', 'other', 'other', 'lang2', 'lang2', 'lang1', 'other', 'ne', 'lang2', 'ne', 'other', 'other', 'lang2', 'other', 'other', 'other', 'other']	neutral
446	Omg hice shopping en Dollar Tree!!!!	['Omg', 'hice', 'shopping', 'en', 'Dollar', 'Tree', '!!', '!!']	['lang1', 'lang1', 'lang1', 'lang2', 'lang1', 'lang1', 'other', 'other']	positive
447	RT @mangelrogel: Pues yo quiero una peli de Spiderman desde 0 otra vez... Que le den a la civil war, asi te lo digo	['RT', '@mangelrogel', ':', 'Pues', 'yo', 'quiero', 'una', 'peli', 'de', 'Spiderman', 'desde', '0', 'otra', 'vez', '..', '.', 'Que', 'le', 'den', 'a', 'la', 'civil', 'war', ',', 'asi', 'te', 'lo', 'digo']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang2', 'other', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2']	positive
448	Happy!!! Movietime #miguerejoyyo #SA #love #amor #feliz #memories #memorialweekendtrip #fun http://t.co/rcJPoxFnQc	['Happy', '!!', '!', 'Movietime', '#miguerejoyyo', '#SA', '#love', '#amor', '#feliz', '#memories', '#memorialweekendtrip', '#fun', 'http://t.co/rcJPoxFnQc']	['lang1', 'other', 'other', 'lang1', 'lang2', 'unk', 'lang1', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'other']	positive
449	Esto parece la entrada de un strip club  https://t.co/CgarHA3Ice	['Esto', 'parece', 'la', 'entrada', 'de', 'un', 'strip', 'club', 'https://t.co/CgarHA3Ice']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'other']	positive
450	😛 todavia me acuerdo cuando me diste en la cara en la cafeteria hace tiempo jajajaj love uu!	['😛', 'todavia', 'me', 'acuerdo', 'cuando', 'me', 'diste', 'en', 'la', 'cara', 'en', 'la', 'cafeteria', 'hace', 'tiempo', 'jajajaj', 'love', 'uu', '!']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'other']	positive
451	@13gsgs @SolidoSuicidaPR QUE? Omg, de verdad hay gente sin cerebro.	['@13gsgs', '@SolidoSuicidaPR', 'QUE', '?', 'Omg', ',', 'de', 'verdad', 'hay', 'gente', 'sin', 'cerebro', '.']	['other', 'other', 'lang2', 'other', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	negative
452	De bayamon a cupey de cupey a bayamon y despues para guaynabo #mividagris	['De', 'bayamon', 'a', 'cupey', 'de', 'cupey', 'a', 'bayamon', 'y', 'despues', 'para', 'guaynabo', '#mividagris']	['lang2', 'ne', 'lang2', 'lang1', 'lang2', 'ne', 'lang2', 'ne', 'lang2', 'lang2', 'lang2', 'ne', 'lang2']	neutral
453	RT @kaze_cartagena: @Kronnomc @ambkoroficial gracias Kronno! 💪🏽	['RT', '@kaze_cartagena', ':', '@Kronnomc', '@ambkoroficial', 'gracias', 'Kronno', '!', '💪🏽']	['other', 'other', 'other', 'other', 'other', 'lang2', 'lang1', 'other', 'other']	positive
454	“@fanyrakel: Extraño el comercial que pasaban en Discovery H&H de @AngieEstilo” / gracias ya pronto viene Otro 😉	['“', '@fanyrakel', ':', 'Extraño', 'el', 'comercial', 'que', 'pasaban', 'en', 'Discovery', 'H&H', 'de', '@AngieEstilo', '”', '/', 'gracias', 'ya', 'pronto', 'viene', 'Otro', '😉']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang2', 'other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	positive
455	Esas parejitas con el sobeteo y la laposería to' el tiempo me sacan de órbita, me cago en na', fo	"['Esas', 'parejitas', 'con', 'el', 'sobeteo', 'y', 'la', 'laposería', 'to', ""'"", 'el', 'tiempo', 'me', 'sacan', 'de', 'órbita', ',', 'me', 'cago', 'en', 'na', ""'"", ',', 'fo']"	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang2']	negative
456	RT @fefaaribas: Porque nos graduamoooos! 🎓 Once a blue lady always a blue lady 💙 https://t.co/EKANJy0B9i	['RT', '@fefaaribas', ':', 'Porque', 'nos', 'graduamoooos', '!', '🎓', 'Once', 'a', 'blue', 'lady', 'always', 'a', 'blue', 'lady', '💙', 'https://t.co/EKANJy0B9i']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'other']	neutral
457	RT @CDRamirez: Ingresa para conocer todo sobre el #Vestuario de @FarrukoPR @LatinAMAs #StyledX @AngieEstilo http://t.co/7rcZ5YsvHf http://t…	['RT', '@CDRamirez', ':', 'Ingresa', 'para', 'conocer', 'todo', 'sobre', 'el', '#Vestuario', 'de', '@FarrukoPR', '@LatinAMAs', '#StyledX', '@AngieEstilo', 'http://t.co/7rcZ5YsvHf', 'http://t', '…']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang1', 'other', 'other', 'other', 'other']	positive
